team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
Cleveland Cavaliers,Chicago Bulls,https://www.pinnacle.com/en/basketball/nba-preseason/cleveland-cavaliers-vs-chicago-bulls/1617084822/,1.502,2.66,-4.5,1.884,4.5,1.97,233.5,1.909,233.5,1.943,2025-10-09 23:29:37
Charlotte Hornets,Oklahoma City Thunder,https://www.pinnacle.com/en/basketball/nba-preseason/charlotte-hornets-vs-oklahoma-city-thunder/1617085735/,4.53,1.206,10.0,1.961,-10.0,1.892,231.0,1.892,231.0,1.961,2025-10-09 23:29:37
Detroit Pistons,Milwaukee Bucks,https://www.pinnacle.com/en/basketball/nba-preseason/detroit-pistons-vs-milwaukee-bucks/1617085620/,1.442,2.86,-5.0,1.869,5.0,1.99,222.5,1.9,222.5,1.952,2025-10-09 23:29:37
Guangzhou Loong Lions,Los Angeles Clippers,https://www.pinnacle.com/en/basketball/nba-preseason/guangzhou-loong-lions-vs-los-angeles-clippers/1617087795/,,,34.0,1.854,-34.0,1.97,213.0,1.819,213.0,2.01,2025-10-09 23:29:37
Charlotte Hornets,Oklahoma City Thunder,https://www.pinnacle.com/en/basketball/nba-preseason/charlotte-hornets-vs-oklahoma-city-thunder/1617085735/,4.53,1.206,10.0,1.961,-10.0,1.892,231.0,1.892,231.0,1.961,2025-10-09 23:41:58
Guangzhou Loong Lions,Los Angeles Clippers,https://www.pinnacle.com/en/basketball/nba-preseason/guangzhou-loong-lions-vs-los-angeles-clippers/1617087795/,,,34.0,1.854,-34.0,1.97,213.0,1.819,213.0,2.01,2025-10-09 23:41:58
Cleveland Cavaliers,Chicago Bulls,https://www.pinnacle.com/en/basketball/nba-preseason/cleveland-cavaliers-vs-chicago-bulls/1617084822/,1.502,2.66,-4.5,1.884,4.5,1.97,233.5,1.909,233.5,1.943,2025-10-09 23:41:58
Detroit Pistons,Milwaukee Bucks,https://www.pinnacle.com/en/basketball/nba-preseason/detroit-pistons-vs-milwaukee-bucks/1617085620/,1.442,2.86,-5.0,1.869,5.0,1.99,222.5,1.9,222.5,1.952,2025-10-09 23:41:58
Detroit Pistons,Milwaukee Bucks,https://www.pinnacle.com/en/basketball/nba-preseason/detroit-pistons-vs-milwaukee-bucks/1617085620/,1.427,2.92,-5.5,1.934,5.5,1.917,222.5,1.943,222.5,1.9,2025-10-09 23:56:58
Guangzhou Loong Lions,Los Angeles Clippers,https://www.pinnacle.com/en/basketball/nba-preseason/guangzhou-loong-lions-vs-los-angeles-clippers/1617087795/,,,34.0,1.877,-34.0,1.943,213.0,1.806,213.0,2.03,2025-10-09 23:56:58
Charlotte Hornets,Oklahoma City Thunder,https://www.pinnacle.com/en/basketball/nba-preseason/charlotte-hornets-vs-oklahoma-city-thunder/1617085735/,4.34,1.221,10.0,1.909,-10.0,1.943,232.0,1.925,232.0,1.925,2025-10-09 23:56:58
Cleveland Cavaliers,Chicago Bulls,https://www.pinnacle.com/en/basketball/nba-preseason/cleveland-cavaliers-vs-chicago-bulls/1617084822/,1.502,2.66,-4.5,1.884,4.5,1.961,233.5,1.869,233.5,1.99,2025-10-09 23:56:58
Boston Celtics,Toronto Raptors,https://www.pinnacle.com/en/basketball/nba-preseason/boston-celtics-vs-toronto-raptors/1617113591/,2.03,1.8,2.0,1.877,-2.0,1.943,231.5,1.9,231.5,1.917,2025-10-10 18:36:04
Orlando Magic,Philadelphia 76ers,https://www.pinnacle.com/en/basketball/nba-preseason/orlando-magic-vs-philadelphia-76ers/1617105550/,1.465,2.7,-5.0,1.869,5.0,1.952,219.5,1.934,219.5,1.884,2025-10-10 18:36:04
Orlando Magic,Philadelphia 76ers,https://www.pinnacle.com/en/basketball/nba-preseason/orlando-magic-vs-philadelphia-76ers/1617105550/,1.467,2.69,-5.0,1.869,5.0,1.943,219.5,1.934,219.5,1.884,2025-10-10 18:56:40
Boston Celtics,Toronto Raptors,https://www.pinnacle.com/en/basketball/nba-preseason/boston-celtics-vs-toronto-raptors/1617113591/,2.03,1.8,2.0,1.877,-2.0,1.943,231.5,1.9,231.5,1.917,2025-10-10 18:56:40
Boston Celtics,Toronto Raptors,https://www.pinnacle.com/en/basketball/nba-preseason/boston-celtics-vs-toronto-raptors/1617113591/,1.952,1.862,1.0,1.917,-1.0,1.9,231.5,1.892,231.5,1.925,2025-10-10 19:07:22
Orlando Magic,Philadelphia 76ers,https://www.pinnacle.com/en/basketball/nba-preseason/orlando-magic-vs-philadelphia-76ers/1617105550/,1.467,2.69,-5.0,1.869,5.0,1.943,219.5,1.934,219.5,1.884,2025-10-10 19:07:22
Orlando Magic,Philadelphia 76ers,https://www.pinnacle.com/en/basketball/nba-preseason/orlando-magic-vs-philadelphia-76ers/1617105550/,1.48,2.65,-5.0,1.9,5.0,1.917,219.5,1.934,219.5,1.884,2025-10-10 19:20:42
Boston Celtics,Toronto Raptors,https://www.pinnacle.com/en/basketball/nba-preseason/boston-celtics-vs-toronto-raptors/1617113591/,1.952,1.862,1.0,1.917,-1.0,1.9,231.5,1.892,231.5,1.925,2025-10-10 19:20:42
Boston Celtics,Toronto Raptors,https://www.pinnacle.com/en/basketball/nba-preseason/boston-celtics-vs-toronto-raptors/1617113591/,1.952,1.862,1.0,1.917,-1.0,1.9,231.5,1.892,231.5,1.925,2025-10-10 19:29:09
Orlando Magic,Philadelphia 76ers,https://www.pinnacle.com/en/basketball/nba-preseason/orlando-magic-vs-philadelphia-76ers/1617105550/,1.48,2.65,-5.0,1.9,5.0,1.917,219.5,1.934,219.5,1.884,2025-10-10 19:29:09
Orlando Magic,Philadelphia 76ers,https://www.pinnacle.com/en/basketball/nba-preseason/orlando-magic-vs-philadelphia-76ers/1617105550/,1.48,2.65,-5.0,1.9,5.0,1.917,219.5,1.934,219.5,1.884,2025-10-10 19:40:57
Boston Celtics,Toronto Raptors,https://www.pinnacle.com/en/basketball/nba-preseason/boston-celtics-vs-toronto-raptors/1617113591/,1.952,1.862,1.0,1.917,-1.0,1.9,231.5,1.892,231.5,1.925,2025-10-10 19:40:57
Orlando Magic,Philadelphia 76ers,https://www.pinnacle.com/en/basketball/nba-preseason/orlando-magic-vs-philadelphia-76ers/1617105550/,1.471,2.68,-5.0,1.884,5.0,1.934,219.5,1.925,219.5,1.892,2025-10-10 19:55:15
Boston Celtics,Toronto Raptors,https://www.pinnacle.com/en/basketball/nba-preseason/boston-celtics-vs-toronto-raptors/1617113591/,1.98,1.84,1.0,1.943,-1.0,1.877,231.5,1.884,231.5,1.934,2025-10-10 19:55:15
Boston Celtics,Toronto Raptors,https://www.pinnacle.com/en/basketball/nba-preseason/boston-celtics-vs-toronto-raptors/1617113591/,1.98,1.84,1.0,1.943,-1.0,1.877,231.5,1.884,231.5,1.934,2025-10-10 20:05:25
Orlando Magic,Philadelphia 76ers,https://www.pinnacle.com/en/basketball/nba-preseason/orlando-magic-vs-philadelphia-76ers/1617105550/,1.462,2.71,-5.0,1.862,5.0,1.952,219.5,1.952,219.5,1.869,2025-10-10 20:05:25
Boston Celtics,Toronto Raptors,https://www.pinnacle.com/en/basketball/nba-preseason/boston-celtics-vs-toronto-raptors/1617113591/,1.98,1.84,1.0,1.943,-1.0,1.877,231.5,1.884,231.5,1.934,2025-10-10 20:27:58
Orlando Magic,Philadelphia 76ers,https://www.pinnacle.com/en/basketball/nba-preseason/orlando-magic-vs-philadelphia-76ers/1617105550/,1.462,2.71,-5.0,1.862,5.0,1.952,219.5,1.952,219.5,1.869,2025-10-10 20:27:58
Boston Celtics,Toronto Raptors,https://www.pinnacle.com/en/basketball/nba-preseason/boston-celtics-vs-toronto-raptors/1617113591/,1.98,1.84,1.0,1.943,-1.0,1.877,231.5,1.884,231.5,1.934,2025-10-10 20:37:10
Orlando Magic,Philadelphia 76ers,https://www.pinnacle.com/en/basketball/nba-preseason/orlando-magic-vs-philadelphia-76ers/1617105550/,1.462,2.71,-5.0,1.862,5.0,1.952,219.5,1.952,219.5,1.869,2025-10-10 20:37:10
Orlando Magic,Philadelphia 76ers,https://www.pinnacle.com/en/basketball/nba-preseason/orlando-magic-vs-philadelphia-76ers/1617105550/,1.462,2.71,-5.0,1.862,5.0,1.952,219.5,1.952,219.5,1.869,2025-10-10 20:43:58
Boston Celtics,Toronto Raptors,https://www.pinnacle.com/en/basketball/nba-preseason/boston-celtics-vs-toronto-raptors/1617113591/,1.98,1.84,1.0,1.943,-1.0,1.877,231.5,1.884,231.5,1.934,2025-10-10 20:43:58
Boston Celtics,Toronto Raptors,https://www.pinnacle.com/en/basketball/nba-preseason/boston-celtics-vs-toronto-raptors/1617113591/,1.98,1.84,1.0,1.943,-1.0,1.877,231.5,1.884,231.5,1.934,2025-10-10 20:56:59
Orlando Magic,Philadelphia 76ers,https://www.pinnacle.com/en/basketball/nba-preseason/orlando-magic-vs-philadelphia-76ers/1617105550/,1.462,2.71,-5.0,1.862,5.0,1.952,219.5,1.952,219.5,1.869,2025-10-10 20:56:59
Boston Celtics,Toronto Raptors,https://www.pinnacle.com/en/basketball/nba-preseason/boston-celtics-vs-toronto-raptors/1617113591/,2.01,1.819,1.0,1.97,-1.0,1.847,231.5,1.854,231.5,1.961,2025-10-10 21:22:03
Orlando Magic,Philadelphia 76ers,https://www.pinnacle.com/en/basketball/nba-preseason/orlando-magic-vs-philadelphia-76ers/1617105550/,1.462,2.71,-5.0,1.862,5.0,1.952,219.5,1.909,219.5,1.909,2025-10-10 21:22:03
Orlando Magic,Philadelphia 76ers,https://www.pinnacle.com/en/basketball/nba-preseason/orlando-magic-vs-philadelphia-76ers/1617105550/,1.462,2.71,-5.0,1.862,5.0,1.952,219.5,1.909,219.5,1.909,2025-10-10 21:29:20
Boston Celtics,Toronto Raptors,https://www.pinnacle.com/en/basketball/nba-preseason/boston-celtics-vs-toronto-raptors/1617113591/,2.01,1.819,1.0,1.97,-1.0,1.847,231.5,1.854,231.5,1.961,2025-10-10 21:29:20
Boston Celtics,Toronto Raptors,https://www.pinnacle.com/en/basketball/nba-preseason/boston-celtics-vs-toronto-raptors/1617113591/,1.751,2.09,-2.0,1.917,2.0,1.9,231.5,1.847,231.5,1.98,2025-10-10 21:40:50
Orlando Magic,Philadelphia 76ers,https://www.pinnacle.com/en/basketball/nba-preseason/orlando-magic-vs-philadelphia-76ers/1617105550/,1.456,2.73,-5.0,1.847,5.0,1.97,219.5,1.9,219.5,1.917,2025-10-10 21:40:50
